,dem_id,tile,supertile,s3url,fileurl,fireid,UniqueID
22,62_21_1_2_2m_v4.1,62_21_1_2,62_21,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_21/62_21_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_21/62_21_1_2_2m_v4.1.tar.gz,14615,129959
23,62_21_1_2_2m_v4.1,62_21_1_2,62_21,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_21/62_21_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_21/62_21_1_2_2m_v4.1.tar.gz,14890,129969
24,62_41_1_1_2m_v4.1,62_41_1_1,62_41,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_41/62_41_1_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_41/62_41_1_1_2m_v4.1.tar.gz,13720,104517
25,62_22_1_2_2m_v4.1,62_22_1_2,62_22,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_22/62_22_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_22/62_22_1_2_2m_v4.1.tar.gz,77,70453
26,62_22_1_2_2m_v4.1,62_22_1_2,62_22,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_22/62_22_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_22/62_22_1_2_2m_v4.1.tar.gz,78,70454
27,62_22_1_2_2m_v4.1,62_22_1_2,62_22,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_22/62_22_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_22/62_22_1_2_2m_v4.1.tar.gz,79,70467
28,62_22_2_2_2m_v4.1,62_22_2_2,62_22,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_22/62_22_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_22/62_22_2_2_2m_v4.1.tar.gz,16175,90728
29,62_22_2_2_2m_v4.1,62_22_2_2,62_22,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_22/62_22_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_22/62_22_2_2_2m_v4.1.tar.gz,16176,90729
30,62_22_2_2_2m_v4.1,62_22_2_2,62_22,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_22/62_22_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_22/62_22_2_2_2m_v4.1.tar.gz,19031,114741
31,62_22_2_2_2m_v4.1,62_22_2_2,62_22,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/62_22/62_22_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/62_22/62_22_2_2_2m_v4.1.tar.gz,19032,114787
32,59_47_2_1_2m_v4.1,59_47_2_1,59_47,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_47/59_47_2_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_47/59_47_2_1_2m_v4.1.tar.gz,12878,104638
33,59_47_1_2_2m_v4.1,59_47_1_2,59_47,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_47/59_47_1_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_47/59_47_1_2_2m_v4.1.tar.gz,14377,103867
34,59_47_2_2_2m_v4.1,59_47_2_2,59_47,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_47/59_47_2_2_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_47/59_47_2_2_2m_v4.1.tar.gz,12943,104608
35,59_47_1_1_2m_v4.1,59_47_1_1,59_47,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_47/59_47_1_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_47/59_47_1_1_2m_v4.1.tar.gz,12868,104635
36,59_47_1_1_2m_v4.1,59_47_1_1,59_47,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_47/59_47_1_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_47/59_47_1_1_2m_v4.1.tar.gz,12878,104638
37,59_47_1_1_2m_v4.1,59_47_1_1,59_47,https://polargeospatialcenter.github.io/stac-browser/#/external/pgc-opendata-dems.s3.us-west-2.amazonaws.com/arcticdem/mosaics/v4.1/2m/59_47/59_47_1_1_2m_v4.1.json,https://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v4.1/2m/59_47/59_47_1_1_2m_v4.1.tar.gz,12891,104642
