,descals_file,fireid,UniqueID
93,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,18657,115051
94,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,18403,115145
95,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,18680,115309
96,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-35_v2-4.tif,18646,115387
97,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,18655,115389
98,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,17142,115677
99,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-14_v2-4.tif,16963,115755
100,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-18_v2-4.tif,16737,115810
101,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,16375,115974
102,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,15975,116059
103,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-35_v2-4.tif,15988,116062
104,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-18_v2-4.tif,15973,116104
105,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-18_v2-4.tif,15916,116161
106,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-18_v2-4.tif,15926,116164
107,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,16059,116281
108,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-18_v2-4.tif,16026,116302
109,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-35_v2-4.tif,16060,116303
110,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-18_v2-4.tif,16061,116304
111,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,16064,116305
112,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,16072,116306
113,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-18_v2-4.tif,16091,116307
114,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,15670,116534
115,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,17548,127337
116,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,19526,127439
117,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-35_v2-4.tif,19189,127580
118,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,17959,127686
119,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-16_v2-4.tif,18551,127687
120,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-34_v2-4.tif,19143,127782
121,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-15_v2-4.tif,18949,127942
122,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-14_v2-4.tif,16376,128000
123,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,15386,128121
124,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,18550,128282
125,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,17553,128650
126,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,17621,128651
127,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,17622,128652
128,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,17856,128654
129,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,17977,128656
130,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,15512,129011
131,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,16571,129042
132,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,14481,129118
133,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-13_v2-4.tif,16553,129257
134,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,16554,129258
135,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-13_v2-4.tif,16603,129266
136,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,14205,129568
137,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-17_v2-4.tif,14211,129569
138,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-13_v2-4.tif,15788,129594
139,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-13_v2-4.tif,15943,129607
140,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,15944,129608
141,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-13_v2-4.tif,16014,129613
142,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,16015,129614
143,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-12_v2-4.tif,15516,129661
144,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-13_v2-4.tif,15787,129670
145,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,14616,129710
146,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,15620,129749
147,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-36_v2-4.tif,15632,129751
148,data/raster/burned_area_descals\Arctic_BA_Landsat78_2013-2020_tile-37_v2-4.tif,14553,129783
